prompt_type,text,label
MEAL_CHECK_PROMPT,밥 먹었어요.,0
MEAL_CHECK_PROMPT,방금 식사했어요.,0
MEAL_CHECK_PROMPT,아까 점심 먹었지.,0
MEAL_CHECK_PROMPT,식사 끝냈어요.,0
MEAL_CHECK_PROMPT,밥 다 먹었어.,0
MEAL_CHECK_PROMPT,밥 먹었어요.,0
MEAL_CHECK_PROMPT,방금 식사했어요.,0
MEAL_CHECK_PROMPT,아까 점심 먹었지.,0
MEAL_CHECK_PROMPT,식사 끝냈어요.,0
MEAL_CHECK_PROMPT,밥 다 먹었어.,0
MEAL_CHECK_PROMPT,밥 먹었어요.,0
MEAL_CHECK_PROMPT,방금 식사했어요.,0
MEAL_CHECK_PROMPT,아까 점심 먹었지.,0
MEAL_CHECK_PROMPT,식사 끝냈어요.,0
MEAL_CHECK_PROMPT,밥 다 먹었어.,0
MEAL_CHECK_PROMPT,밥 먹었어요.,0
MEAL_CHECK_PROMPT,방금 식사했어요.,0
MEAL_CHECK_PROMPT,아까 점심 먹었지.,0
MEAL_CHECK_PROMPT,식사 끝냈어요.,0
MEAL_CHECK_PROMPT,밥 다 먹었어.,0
MEAL_CHECK_PROMPT,밥 먹었어요.,0
MEAL_CHECK_PROMPT,방금 식사했어요.,0
MEAL_CHECK_PROMPT,아까 점심 먹었지.,0
MEAL_CHECK_PROMPT,식사 끝냈어요.,0
MEAL_CHECK_PROMPT,밥 다 먹었어.,0
MEAL_CHECK_PROMPT,밥 먹었어요.,0
MEAL_CHECK_PROMPT,방금 식사했어요.,0
MEAL_CHECK_PROMPT,아까 점심 먹었지.,0
MEAL_CHECK_PROMPT,식사 끝냈어요.,0
MEAL_CHECK_PROMPT,밥 다 먹었어.,0
MEAL_CHECK_PROMPT,밥 먹었어요.,0
MEAL_CHECK_PROMPT,방금 식사했어요.,0
MEAL_CHECK_PROMPT,아까 점심 먹었지.,0
MEAL_CHECK_PROMPT,아직 안 먹었어요.,1
MEAL_CHECK_PROMPT,"배고파요, 밥 안 먹었어요.",1
MEAL_CHECK_PROMPT,못 먹었어요.,1
MEAL_CHECK_PROMPT,오늘은 굶었어요.,1
MEAL_CHECK_PROMPT,먹기 싫어요.,1
MEAL_CHECK_PROMPT,아직 안 먹었어요.,1
MEAL_CHECK_PROMPT,"배고파요, 밥 안 먹었어요.",1
MEAL_CHECK_PROMPT,못 먹었어요.,1
MEAL_CHECK_PROMPT,오늘은 굶었어요.,1
MEAL_CHECK_PROMPT,먹기 싫어요.,1
MEAL_CHECK_PROMPT,아직 안 먹었어요.,1
MEAL_CHECK_PROMPT,"배고파요, 밥 안 먹었어요.",1
MEAL_CHECK_PROMPT,못 먹었어요.,1
MEAL_CHECK_PROMPT,오늘은 굶었어요.,1
MEAL_CHECK_PROMPT,먹기 싫어요.,1
MEAL_CHECK_PROMPT,아직 안 먹었어요.,1
MEAL_CHECK_PROMPT,"배고파요, 밥 안 먹었어요.",1
MEAL_CHECK_PROMPT,못 먹었어요.,1
MEAL_CHECK_PROMPT,오늘은 굶었어요.,1
MEAL_CHECK_PROMPT,먹기 싫어요.,1
MEAL_CHECK_PROMPT,아직 안 먹었어요.,1
MEAL_CHECK_PROMPT,"배고파요, 밥 안 먹었어요.",1
MEAL_CHECK_PROMPT,못 먹었어요.,1
MEAL_CHECK_PROMPT,오늘은 굶었어요.,1
MEAL_CHECK_PROMPT,먹기 싫어요.,1
MEAL_CHECK_PROMPT,아직 안 먹었어요.,1
MEAL_CHECK_PROMPT,"배고파요, 밥 안 먹었어요.",1
MEAL_CHECK_PROMPT,못 먹었어요.,1
MEAL_CHECK_PROMPT,오늘은 굶었어요.,1
MEAL_CHECK_PROMPT,먹기 싫어요.,1
MEAL_CHECK_PROMPT,아직 안 먹었어요.,1
MEAL_CHECK_PROMPT,"배고파요, 밥 안 먹었어요.",1
MEAL_CHECK_PROMPT,못 먹었어요.,1
MEAL_CHECK_PROMPT,뭐 좀 먹었나 안 먹었나...,2
MEAL_CHECK_PROMPT,그랬던 것 같기도 하고...,2
MEAL_CHECK_PROMPT,음... 잘 모르겠어요.,2
MEAL_CHECK_PROMPT,......,2
MEAL_CHECK_PROMPT,생각이 안 나요.,2
MEAL_CHECK_PROMPT,뭐 좀 먹었나 안 먹었나...,2
MEAL_CHECK_PROMPT,그랬던 것 같기도 하고...,2
MEAL_CHECK_PROMPT,음... 잘 모르겠어요.,2
MEAL_CHECK_PROMPT,......,2
MEAL_CHECK_PROMPT,생각이 안 나요.,2
MEAL_CHECK_PROMPT,뭐 좀 먹었나 안 먹었나...,2
MEAL_CHECK_PROMPT,그랬던 것 같기도 하고...,2
MEAL_CHECK_PROMPT,음... 잘 모르겠어요.,2
MEAL_CHECK_PROMPT,......,2
MEAL_CHECK_PROMPT,생각이 안 나요.,2
MEAL_CHECK_PROMPT,뭐 좀 먹었나 안 먹었나...,2
MEAL_CHECK_PROMPT,그랬던 것 같기도 하고...,2
MEAL_CHECK_PROMPT,음... 잘 모르겠어요.,2
MEAL_CHECK_PROMPT,......,2
MEAL_CHECK_PROMPT,생각이 안 나요.,2
MEAL_CHECK_PROMPT,뭐 좀 먹었나 안 먹었나...,2
MEAL_CHECK_PROMPT,그랬던 것 같기도 하고...,2
MEAL_CHECK_PROMPT,음... 잘 모르겠어요.,2
MEAL_CHECK_PROMPT,......,2
MEAL_CHECK_PROMPT,생각이 안 나요.,2
MEAL_CHECK_PROMPT,뭐 좀 먹었나 안 먹었나...,2
MEAL_CHECK_PROMPT,그랬던 것 같기도 하고...,2
MEAL_CHECK_PROMPT,음... 잘 모르겠어요.,2
MEAL_CHECK_PROMPT,......,2
MEAL_CHECK_PROMPT,생각이 안 나요.,2
MEAL_CHECK_PROMPT,뭐 좀 먹었나 안 먹었나...,2
MEAL_CHECK_PROMPT,그랬던 것 같기도 하고...,2
MEAL_CHECK_PROMPT,음... 잘 모르겠어요.,2
MEDICINE_INDUCTION_PROMPT,"응, 약 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 먹겠습니다.,0
MEDICINE_INDUCTION_PROMPT,"알겠어요, 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 챙겨 먹을게요.,0
MEDICINE_INDUCTION_PROMPT,지금 먹으러 갈게요.,0
MEDICINE_INDUCTION_PROMPT,"응, 약 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 먹겠습니다.,0
MEDICINE_INDUCTION_PROMPT,"알겠어요, 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 챙겨 먹을게요.,0
MEDICINE_INDUCTION_PROMPT,지금 먹으러 갈게요.,0
MEDICINE_INDUCTION_PROMPT,"응, 약 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 먹겠습니다.,0
MEDICINE_INDUCTION_PROMPT,"알겠어요, 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 챙겨 먹을게요.,0
MEDICINE_INDUCTION_PROMPT,지금 먹으러 갈게요.,0
MEDICINE_INDUCTION_PROMPT,"응, 약 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 먹겠습니다.,0
MEDICINE_INDUCTION_PROMPT,"알겠어요, 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 챙겨 먹을게요.,0
MEDICINE_INDUCTION_PROMPT,지금 먹으러 갈게요.,0
MEDICINE_INDUCTION_PROMPT,"응, 약 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 먹겠습니다.,0
MEDICINE_INDUCTION_PROMPT,"알겠어요, 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 챙겨 먹을게요.,0
MEDICINE_INDUCTION_PROMPT,지금 먹으러 갈게요.,0
MEDICINE_INDUCTION_PROMPT,"응, 약 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 먹겠습니다.,0
MEDICINE_INDUCTION_PROMPT,"알겠어요, 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 챙겨 먹을게요.,0
MEDICINE_INDUCTION_PROMPT,지금 먹으러 갈게요.,0
MEDICINE_INDUCTION_PROMPT,"응, 약 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,약 먹겠습니다.,0
MEDICINE_INDUCTION_PROMPT,"알겠어요, 먹을게요.",0
MEDICINE_INDUCTION_PROMPT,먹기 싫어요.,1
MEDICINE_INDUCTION_PROMPT,귀찮아서 안 먹고 싶어요.,1
MEDICINE_INDUCTION_PROMPT,매번 챙겨먹는 게 힘들어요.,1
MEDICINE_INDUCTION_PROMPT,약 필요 없어요.,1
MEDICINE_INDUCTION_PROMPT,안 먹어도 될 것 같아요.,1
MEDICINE_INDUCTION_PROMPT,먹기 싫어요.,1
MEDICINE_INDUCTION_PROMPT,귀찮아서 안 먹고 싶어요.,1
MEDICINE_INDUCTION_PROMPT,매번 챙겨먹는 게 힘들어요.,1
MEDICINE_INDUCTION_PROMPT,약 필요 없어요.,1
MEDICINE_INDUCTION_PROMPT,안 먹어도 될 것 같아요.,1
MEDICINE_INDUCTION_PROMPT,먹기 싫어요.,1
MEDICINE_INDUCTION_PROMPT,귀찮아서 안 먹고 싶어요.,1
MEDICINE_INDUCTION_PROMPT,매번 챙겨먹는 게 힘들어요.,1
MEDICINE_INDUCTION_PROMPT,약 필요 없어요.,1
MEDICINE_INDUCTION_PROMPT,안 먹어도 될 것 같아요.,1
MEDICINE_INDUCTION_PROMPT,먹기 싫어요.,1
MEDICINE_INDUCTION_PROMPT,귀찮아서 안 먹고 싶어요.,1
MEDICINE_INDUCTION_PROMPT,매번 챙겨먹는 게 힘들어요.,1
MEDICINE_INDUCTION_PROMPT,약 필요 없어요.,1
MEDICINE_INDUCTION_PROMPT,안 먹어도 될 것 같아요.,1
MEDICINE_INDUCTION_PROMPT,먹기 싫어요.,1
MEDICINE_INDUCTION_PROMPT,귀찮아서 안 먹고 싶어요.,1
MEDICINE_INDUCTION_PROMPT,매번 챙겨먹는 게 힘들어요.,1
MEDICINE_INDUCTION_PROMPT,약 필요 없어요.,1
MEDICINE_INDUCTION_PROMPT,안 먹어도 될 것 같아요.,1
MEDICINE_INDUCTION_PROMPT,먹기 싫어요.,1
MEDICINE_INDUCTION_PROMPT,귀찮아서 안 먹고 싶어요.,1
MEDICINE_INDUCTION_PROMPT,매번 챙겨먹는 게 힘들어요.,1
MEDICINE_INDUCTION_PROMPT,약 필요 없어요.,1
MEDICINE_INDUCTION_PROMPT,안 먹어도 될 것 같아요.,1
MEDICINE_INDUCTION_PROMPT,먹기 싫어요.,1
